accuracy,loss,val_accuracy,val_loss
0.05000000074505806,0.03697921708226204,0.14399999380111694,0.036836035549640656
0.13875000178813934,0.0367671363055706,0.164000004529953,0.03664155676960945
0.1899999976158142,0.036533113569021225,0.2240000069141388,0.03636833280324936
0.2737500071525574,0.03619486466050148,0.3199999928474426,0.03598768636584282
0.36375001072883606,0.03569478541612625,0.3720000088214874,0.035354748368263245
0.42500001192092896,0.03482869267463684,0.4440000057220459,0.03429005295038223
0.4137499928474426,0.03347289189696312,0.41999998688697815,0.032555852085351944
0.45750001072883606,0.03128529340028763,0.4320000112056732,0.030259089544415474
0.48500001430511475,0.028386704623699188,0.5,0.027299007400870323
0.5525000095367432,0.025039751082658768,0.5759999752044678,0.024072567000985146
0.6349999904632568,0.021694492548704147,0.6399999856948853,0.02134854905307293
0.6962500214576721,0.018696120008826256,0.7400000095367432,0.017987454310059547
0.7987499833106995,0.015228526666760445,0.7559999823570251,0.015843823552131653
0.8237500190734863,0.012670986354351044,0.8080000281333923,0.013346835970878601
0.8525000214576721,0.01064513809978962,0.828000009059906,0.011598401702940464
0.8849999904632568,0.008643717505037785,0.828000009059906,0.010521995835006237
0.9037500023841858,0.007211719639599323,0.8479999899864197,0.009592045098543167
0.9212499856948853,0.0060432362370193005,0.8759999871253967,0.00813684705644846
0.925000011920929,0.0053374855779111385,0.8799999952316284,0.007744743954390287
0.9375,0.004649950657039881,0.8920000195503235,0.007322563324123621
0.956250011920929,0.003934918437153101,0.8880000114440918,0.00669916020706296
0.956250011920929,0.003708618227392435,0.8999999761581421,0.006346839014440775
0.9599999785423279,0.0033212497364729643,0.9039999842643738,0.006075073964893818
0.9700000286102295,0.002960852114483714,0.9240000247955322,0.00544205866754055
0.9725000262260437,0.0024887812323868275,0.9240000247955322,0.005414991173893213
0.9775000214576721,0.002197667257860303,0.9160000085830688,0.005260245408862829
0.9775000214576721,0.001979610649868846,0.9279999732971191,0.004929162561893463
0.9800000190734863,0.001910671591758728,0.9240000247955322,0.005072963889688253
0.9837499856948853,0.0016813689144328237,0.9200000166893005,0.0048421830870211124
0.9837499856948853,0.0015049424255266786,0.9279999732971191,0.004590339493006468
0.9825000166893005,0.0013911017449572682,0.9200000166893005,0.004785072989761829
0.987500011920929,0.0013404820347204804,0.9399999976158142,0.00413103960454464
0.9912499785423279,0.0011276057921350002,0.9319999814033508,0.004399403464049101
0.9912499785423279,0.001113705220632255,0.9240000247955322,0.004232905339449644
0.9950000047683716,0.0009754791972227395,0.9359999895095825,0.004212735220789909
0.9950000047683716,0.0009273120085708797,0.9279999732971191,0.004493787419050932
0.9950000047683716,0.0008358040358871222,0.9359999895095825,0.003991429693996906
0.9962499737739563,0.0007838744786567986,0.9279999732971191,0.004056255798786879
0.9962499737739563,0.000702402729075402,0.9319999814033508,0.004146570339798927
0.9962499737739563,0.0007260473794303834,0.9319999814033508,0.003926648758351803
0.9937499761581421,0.0006773407803848386,0.9240000247955322,0.004099156707525253
0.9962499737739563,0.00061465596081689,0.9359999895095825,0.0038595199584960938
0.9987499713897705,0.0005243135965429246,0.9399999976158142,0.0038247904740273952
0.9975000023841858,0.0005040966207161546,0.9399999976158142,0.0036809758748859167
0.9987499713897705,0.00048680618056096137,0.9359999895095825,0.0037500120233744383
0.9962499737739563,0.00044030408025719225,0.9399999976158142,0.003733852179720998
0.9987499713897705,0.0004353385011199862,0.9319999814033508,0.0038813247811049223
0.9962499737739563,0.0004964861436747015,0.9359999895095825,0.0037221007514744997
0.9962499737739563,0.0004627578309737146,0.9399999976158142,0.0037436748389154673
0.9962499737739563,0.00036541535519063473,0.9399999976158142,0.0037579708732664585
